unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(10),qgtse(10),qgts(5),qgtse(5),qgts(25),qgtse(25),qgts(50),qgtse(50),qgts(100),qgtse(100),qgts(200),qgtse(200),SeasonalNaive
ID177,smape,0.018979449,0.02060053,0.019290613,0.021463465,0.01956271,0.019123146,0.020624092,0.022163084,0.02541962,0.022011526,0.019893594,0.02253216,0.021043045,0.01918058,0.019852364,0.019548265,0.0185181,0.02030815,0.021286609,0.020651333,0.052464932
ID178,smape,0.00084113004,0.0008281275,0.0013203083,0.001049322,0.002150003,0.00043447496,0.0018740561,0.0011211286,0.0005960539,0.00061715045,0.0013394747,0.0007598723,0.00066831254,0.00074203836,0.0012345617,0.0005265363,0.0014296052,0.0007273932,0.0008617331,0.0010786658,0.0010217265
ID179,smape,0.0022402953,0.009837996,0.008902967,0.009811554,0.01575581,0.0050345534,0.010643138,0.009347899,0.0045919074,0.004457226,0.0078325765,0.007036362,0.0066336356,0.014202168,0.010083458,0.013209825,0.021514513,0.011953242,0.011192498,0.01345464,0.047322053
ID18,smape,0.15107872,0.14730276,0.14606717,0.14625809,0.1472864,0.15320607,0.141992,0.14778526,0.15022247,0.14781508,0.15692909,0.14962591,0.15052184,0.15338068,0.15306802,0.14708216,0.1521086,0.14363424,0.14972983,0.15025602,0.19647412
ID180,smape,0.00480431,0.0033673784,0.034194432,0.007078835,0.04646261,0.009621102,0.00410984,0.0064445375,0.010965026,0.0055559436,0.0047022165,0.006593064,0.0030094942,0.002048388,0.008388829,0.004305139,0.010022806,0.009229846,0.013989082,0.0090002455,0.086980164
ID181,smape,0.09657762,0.099475436,0.14742342,0.08973925,0.15476863,0.100298114,0.0865213,0.10168813,0.099400334,0.084038086,0.08469527,0.10357475,0.08507349,0.10857428,0.0910967,0.092029065,0.11000982,0.086260095,0.1064838,0.09672999,0.4149733
ID182,smape,0.002198388,0.0013099144,0.012346229,0.005036423,0.009061674,0.0010194159,0.0028502622,0.0007814935,0.0031842126,0.0027174605,0.0033566053,0.0011627034,0.0012201829,0.006223132,0.004440845,0.0044624554,0.00067792943,0.0002163448,0.0013105379,0.00055195665,0.031680264
ID183,smape,0.0036351427,0.0028268422,0.009101666,0.006202033,0.0020409292,0.002215986,0.0026640694,0.0026513978,0.0054681585,0.0038220994,0.004163953,0.0034227043,0.0029541124,0.005983255,0.00604558,0.0045195604,0.0019111695,0.0035246434,0.0024464077,0.001934359,0.022522958
ID184,smape,0.019781075,0.043576688,0.028104104,0.024327883,0.066770725,0.036812156,0.08225693,0.010122691,0.019537065,0.04605759,0.073503256,0.055445477,0.021415615,0.052932575,0.028802078,0.013696888,0.054602355,0.016687242,0.03781062,0.022363447,0.31542766
ID185,smape,0.1491462,0.14337006,0.13697353,0.14117672,0.13914554,0.10469988,0.1540552,0.15552685,0.15929028,0.14773339,0.12618335,0.14353687,0.11862565,0.13990168,0.15073505,0.12059075,0.16257177,0.13254915,0.15349343,0.14219348,0.2246033
ID186,smape,0.0018806733,0.0020475746,0.0019610391,0.0021701697,0.0022342377,0.0021487335,0.0021188573,0.0018888195,0.0018327336,0.0020350623,0.0019247106,0.001737162,0.0017312202,0.0020852513,0.0020604474,0.0020541255,0.0019380292,0.0017804276,0.002076081,0.0020563658,0.0027472684
ID187,smape,0.14794523,0.15485208,0.18409814,0.12317196,0.20157017,0.1460713,0.12868007,0.19406858,0.13006212,0.14720398,0.16605628,0.15889208,0.14268845,0.13519745,0.10193436,0.10534956,0.17148726,0.10274978,0.1501777,0.113667265,0.14163226
ID188,smape,0.23627536,0.24397111,0.19441356,0.29214305,0.2484762,0.2536931,0.24865092,0.2299808,0.22975671,0.23308095,0.22224979,0.22815004,0.23244266,0.2321347,0.24417418,0.22907552,0.23999442,0.2359333,0.24916354,0.24064189,0.07137906
ID189,smape,0.0056948285,0.0050425874,0.0078133885,0.005227934,0.0058117015,0.004494914,0.005645657,0.005216249,0.0067804526,0.005455328,0.006498472,0.0058174166,0.0058659445,0.0060986113,0.0058161137,0.005192136,0.0058345944,0.0057462375,0.0059880503,0.005894043,0.012443665
ID19,smape,0.049792796,0.044708364,0.05555739,0.04398753,0.04270757,0.04756494,0.046138927,0.047715202,0.046611734,0.043887552,0.04775914,0.043593217,0.04560048,0.04068385,0.050735082,0.046099737,0.04736866,0.044010416,0.049210887,0.0456377,0.2042248
ID192,smape,0.051914766,0.049675412,0.04592988,0.049494147,0.03788226,0.05206228,0.05456569,0.055041853,0.04827731,0.05123028,0.049149565,0.049614143,0.051732816,0.051357545,0.045640457,0.05375879,0.050892226,0.055777036,0.049595334,0.053356115,0.016666668
ID193,smape,0.13150555,0.13911405,0.10832528,0.112849295,0.13865432,0.12004721,0.11666925,0.11207761,0.1206146,0.12108128,0.12435444,0.12902011,0.10977367,0.14325646,0.13389595,0.10913129,0.13722426,0.12126823,0.12720838,0.12342947,0.06404255
