unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID116,smape,0.06592456,0.059343223,0.059579004,0.031270742,0.1415022,0.05596051,0.03583635,0.07096707,0.07244153,0.10549625,0.098344974,0.054496367,0.043051105
ID117,smape,0.012357845,0.008464289,0.013922661,0.013838783,0.023033986,0.01878298,0.0156140765,0.012457539,0.022675166,0.011815506,0.010499318,0.013453811,0.006082577
ID118,smape,0.0424564,0.019198451,0.018882079,0.028290905,0.009472678,0.040451955,0.0074965297,0.009163386,0.01837851,0.008697226,0.01246063,0.041150954,0.027856572
ID119,smape,0.021923056,0.0093183145,0.003482389,0.024877308,0.010642883,0.020940932,0.010646436,0.012114062,0.005518984,0.023232872,0.0056553544,0.021723859,0.016287401
ID12,smape,0.042929415,0.032534394,0.04996681,0.029465107,0.035367295,0.030322408,0.05132168,0.03445671,0.03656032,0.04866084,0.026480863,0.024903,0.019017937
ID120,smape,0.0076923263,0.008463516,0.008163082,0.008699057,0.007963519,0.009174314,0.008386009,0.007401098,0.010579959,0.010736859,0.014359173,0.015398373,0.010137952
ID121,smape,0.008784637,0.0055003217,0.006994641,0.0061295573,0.008276303,0.0064280606,0.0070685744,0.0054285987,0.0066567943,0.006760919,0.0075018513,0.006074091,0.016613085
ID122,smape,0.023372235,0.03447202,0.026912866,0.008434915,0.047612082,0.03581514,0.010404752,0.01273146,0.008033172,0.015721971,0.025425138,0.012048713,0.036578115
ID123,smape,0.026956698,0.019036116,0.019805918,0.019565457,0.02176348,0.017041564,0.034812085,0.018957967,0.0191799,0.022007545,0.018062674,0.022079332,0.031041643
ID124,smape,0.031888466,0.018718151,0.0327127,0.013876059,0.035795547,0.053721473,0.04104505,0.047085892,0.013014142,0.009692498,0.032541387,0.040727556,0.14968519
ID125,smape,0.10445666,0.04692444,0.045655962,0.08632833,0.023911914,0.065239705,0.037617505,0.017323943,0.022073833,0.09377497,0.04276805,0.07686155,0.032817055
ID126,smape,0.034288768,0.057023782,0.052359354,0.034324706,0.041785046,0.029595697,0.040127274,0.04607187,0.038145225,0.031299546,0.04651266,0.05803919,0.0313053
ID127,smape,0.021751098,0.03327,0.025488606,0.037863407,0.059748247,0.03412411,0.02918828,0.04803737,0.035646845,0.08049288,0.037666876,0.024170674,0.050336838
ID128,smape,0.05195658,0.047073167,0.027050206,0.032346476,0.13407598,0.029892335,0.054422785,0.05143899,0.07608162,0.08311484,0.06866464,0.036006685,0.0923653
ID129,smape,0.045652833,0.041055974,0.026417911,0.03194372,0.043966923,0.025130702,0.037225757,0.051581368,0.068862565,0.06492569,0.027249463,0.026027707,0.0703409
ID13,smape,0.074246824,0.050980717,0.029226659,0.021548754,0.038185883,0.020054804,0.022128299,0.01865762,0.04838707,0.036868397,0.01789877,0.022666276,0.03670874
ID130,smape,0.069184095,0.14672369,0.08304604,0.08850046,0.09275589,0.08300197,0.12526543,0.11747428,0.08052828,0.06957636,0.08843722,0.14078358,0.1295224
ID131,smape,0.017100813,0.018432545,0.019129224,0.033362165,0.016400814,0.023865828,0.014041297,0.016769739,0.01196478,0.006056646,0.018157953,0.017749945,0.01523763
ID132,smape,0.03057717,0.021756597,0.026715413,0.030912446,0.030594492,0.023992607,0.026415005,0.042120066,0.016532796,0.01625183,0.029225754,0.05510882,0.037461568
ID133,smape,0.022149332,0.015104949,0.016765801,0.03068255,0.025604298,0.030801564,0.029478855,0.024393536,0.009108853,0.011529832,0.032728836,0.024410283,0.024107797
ID134,smape,0.02507476,0.025659913,0.024881551,0.02464795,0.02804018,0.028237248,0.026566537,0.020622535,0.027842255,0.039627615,0.024956657,0.029451123,0.030569887
ID135,smape,0.027384466,0.02339091,0.007180372,0.011645631,0.019365283,0.020822419,0.01874,0.010930925,0.01001353,0.005848972,0.022697015,0.033560965,0.011480532
ID136,smape,0.016688572,0.022005444,0.02143179,0.0102049075,0.010513122,0.015275509,0.00937139,0.010313552,0.019906623,0.009311034,0.011241176,0.01003101,0.017844496
ID137,smape,0.03672908,0.02408099,0.04674853,0.016839838,0.05586114,0.022450507,0.02318921,0.039592706,0.026623027,0.046574626,0.044122774,0.03256843,0.029395143
ID138,smape,0.03827503,0.017240858,0.020553436,0.026429027,0.012395204,0.03525889,0.026032098,0.020259114,0.01149733,0.019664427,0.011449995,0.032973785,0.02203696
ID139,smape,0.016874293,0.017785609,0.013487138,0.013617036,0.022739513,0.013769248,0.011746492,0.016099274,0.027699469,0.037086546,0.027938584,0.016146952,0.035133485
ID14,smape,0.027610982,0.019107725,0.019741796,0.022906715,0.011644092,0.0230121,0.013230197,0.014470455,0.021761723,0.024252104,0.009996955,0.016027903,0.02427122
ID140,smape,0.01933531,0.014515854,0.014631682,0.021263957,0.018803043,0.01913788,0.016752599,0.01521002,0.012940767,0.010102268,0.014487773,0.012629067,0.03122137
ID141,smape,0.018301642,0.05032417,0.021527572,0.010260914,0.019258587,0.032207023,0.03871339,0.0148977535,0.023858503,0.020133084,0.018657668,0.011258289,0.03028573
ID142,smape,0.019325776,0.017163653,0.016746357,0.019513397,0.036561366,0.02646629,0.018897586,0.021657886,0.024721846,0.039445493,0.02284533,0.019824002,0.029923024
ID143,smape,0.093839146,0.076017454,0.06809201,0.06393525,0.13455187,0.072802134,0.0637782,0.10502418,0.060383778,0.089532554,0.1271858,0.10483309,0.051195562
ID144,smape,0.020480083,0.012913094,0.01509491,0.013100681,0.029441044,0.017918942,0.016203294,0.01604975,0.019125355,0.013173441,0.016037272,0.012601655,0.023334024
ID145,smape,0.024081947,0.03701328,0.019241443,0.02498738,0.030431077,0.01797144,0.029715983,0.037671596,0.011107229,0.027609134,0.025264354,0.01697916,0.050231148
ID146,smape,0.023939403,0.025680562,0.067250825,0.022738894,0.13526052,0.01478527,0.03627514,0.036488816,0.020429743,0.050277848,0.047076657,0.07339119,0.03294789
ID147,smape,0.008843579,0.028910674,0.02196824,0.019717049,0.022215879,0.03883169,0.018209936,0.01006906,0.010685555,0.013934842,0.019250808,0.031623725,0.018170485
ID148,smape,0.011026435,0.01940077,0.020598179,0.012540459,0.07765674,0.014027022,0.03472425,0.020114845,0.07540644,0.012556168,0.039858706,0.0131821325,0.031952616
ID149,smape,0.017340288,0.03048917,0.019921219,0.029543623,0.03297681,0.026881322,0.018937916,0.022512056,0.018432137,0.030128384,0.021451699,0.018270055,0.06161071
ID15,smape,0.14531203,0.1638366,0.058881193,0.054980274,0.15322165,0.13826011,0.027105317,0.13232939,0.025274023,0.08509988,0.13068654,0.101558656,0.035117168
ID150,smape,0.015299891,0.011077459,0.027340597,0.016697956,0.049138423,0.014114796,0.036482926,0.028522486,0.042886857,0.039897393,0.009968564,0.011729288,0.019444859
